<<<<<<< HEAD
"","PR","2.5 %","97.5 %"
"(Intercept)",1.31728901219524,1.0808448403466,1.60545739487812
"meet_pa",1.24671806424323,1.03573648957984,1.50067700360824
"factor(RIAGENDR)2",1.08865094611994,1.01456066149886,1.16815181926821
"BMXBMI",0.990099572251374,0.985259950008537,0.994962966843277
"RIDAGEYR",0.987959431654469,0.986200773027146,0.989721226438497
"factor(RIDRETH1)2",0.961409879545721,0.899089512600926,1.02804998115731
"factor(RIDRETH1)3",1.00602012180085,0.940793104568202,1.07576945510534
"factor(RIDRETH1)4",0.799525586320649,0.749233973944047,0.853192974974618
"factor(RIDRETH1)5",0.915380750928921,0.85005077028962,0.985731615637157
"SMQ020",1.08626169698909,1.02827334249618,1.14752024153539
"ALQ111",0.882083861991076,0.809999558566254,0.960583164961624
"DIQ010",1.05927151034972,0.991004055655923,1.13224171610066
"meet_pa:factor(RIAGENDR)2",0.978605728009438,0.90958996229907,1.05285811254149
"meet_pa:BMXBMI",0.991113805919819,0.984634888646676,0.997635354598285
=======
"","PR","2.5 %","97.5 %"
"(Intercept)",1.31728901219524,1.0808448403466,1.60545739487812
"meet_pa",1.24671806424323,1.03573648957984,1.50067700360824
"factor(RIAGENDR)2",1.08865094611994,1.01456066149886,1.16815181926821
"BMXBMI",0.990099572251374,0.985259950008537,0.994962966843277
"RIDAGEYR",0.987959431654469,0.986200773027146,0.989721226438497
"factor(RIDRETH1)2",0.961409879545721,0.899089512600926,1.02804998115731
"factor(RIDRETH1)3",1.00602012180085,0.940793104568202,1.07576945510534
"factor(RIDRETH1)4",0.799525586320649,0.749233973944047,0.853192974974618
"factor(RIDRETH1)5",0.915380750928921,0.85005077028962,0.985731615637157
"SMQ020",1.08626169698909,1.02827334249618,1.14752024153539
"ALQ111",0.882083861991076,0.809999558566254,0.960583164961624
"DIQ010",1.05927151034972,0.991004055655923,1.13224171610066
"meet_pa:factor(RIAGENDR)2",0.978605728009438,0.90958996229907,1.05285811254149
"meet_pa:BMXBMI",0.991113805919819,0.984634888646676,0.997635354598285
>>>>>>> aae1f171947e47ecc5d81e736d288891c6fd4a20
